512,2.415,4.623968
512,1.681,2.202432
512,1.361,1.865248
512,1.342,1.776672
512,1.484,1.890496
1024,6.387,7.037376
1024,6.36,6.894912
1024,6.329,6.794176
1024,6.261,6.737088
1024,6.636,7.136672
2048,45.881,46.400928
2048,45.91,46.250015
2048,46.039,46.745281
2048,45.894,46.307678
2048,45.933,46.583199
4096,325.999,326.342834
4096,285.026,285.25946
4096,285.278,285.576538
4096,285.672,285.857697
4096,286.196,286.413422
8192,2337.635,2336.445557
8192,2340.308,2339.464844
8192,2355.256,2354.794922
8192,2345.044,2344.372559
8192,2353.019,2351.748535
16384,21482.703,21469.61719
16384,22386.345,22372.89844
16384,22901.917,22888.23047
16384,23156.921,23143.03125
16384,23266.138,23253.74805
