512,0.396,0.285696
512,0.291,0.183296
512,0.424,0.274432
512,0.301,0.15872
512,0.38,0.18432
1024,0.751,0.65024
1024,0.848,0.68608
1024,0.789,0.577536
1024,0.782,0.685056
1024,0.73,0.579584
2048,8.237,4.36224
2048,7.769,4.358144
2048,8.174,4.359168
2048,8.132,4.36224
2048,8.321,4.361216
4096,58.806,31.210497
4096,57.457,30.246912
4096,59.247,31.363071
4096,58.122,30.4384
4096,58.616,30.885887
8192,469.424,236.045319
8192,472.849,237.15123
8192,473.667,237.867004
8192,473.506,239.016953
8192,475.659,239.044601
16384,6552.528,3280.752686
16384,6577.949,3297.557617
16384,6580.287,3297.419189
16384,6577.98,3298.610107
16384,6581.35,3301.442627
