512,1.28,2.181024
512,1.392,2.057568
512,1.213,1.830848
512,1.319,2.100288
512,1.328,1.916
1024,5.468,6.66928
1024,5.035,5.5752
1024,5.004,5.559552
1024,4.973,5.519872
1024,5.24,5.829376
2048,35.289,35.798527
2048,35.29,35.817791
2048,35.245,35.749184
2048,35.34,35.955647
2048,35.494,35.94371
4096,217.504,217.730118
4096,217.206,217.564163
4096,217.332,217.767197
4096,217.451,217.867996
4096,217.235,217.880325
8192,1756.036,1755.456787
8192,1751.293,1750.383179
8192,1763.827,1763.112427
8192,1765.11,1764.970825
8192,1760.576,1759.889404
16384,14867.872,14859.63672
16384,15220.848,15211.70117
16384,15457.637,15450.68652
16384,15424.711,15417.12598
16384,15523.886,15516.42578
